entry_date,exit_date,entry_px,exit_px,qty,direction,pnl_raw,tcost,pnl_tcost,duration,exit_type,ret,year
2023-02-14 15:00:00,2023-02-19 18:00:00,22216.75,24366.164,0.009002216795885988,1.0,19.34949081211249,0.6709591852993801,18.678531626813108,123,SIGNAL,0.18678531626813105,2023
2023-03-13 01:00:00,2023-03-13 10:00:00,22620.988,22070.328,0.010464151894194593,1.0,-5.762189882057193,0.7482507503607188,-6.510440632417911,9,SIGNAL,-0.055007863104829885,2023
2023-03-13 15:00:00,2023-03-21 08:00:00,23628.0,27608.293,0.00946511867312668,1.0,37.67394559881542,0.7759321497857437,36.898013449029676,185,SIGNAL,0.32997417734890816,2023
2023-04-09 22:00:00,2023-04-14 17:00:00,28465.805,30174.844,0.010408730441728025,1.0,17.78892626540043,0.976599533390381,16.81232673201005,115,SIGNAL,0.1134845096845145,2023
2023-04-25 22:00:00,2023-04-29 18:00:00,28303.715,29195.307,0.011625560666101677,1.0,10.365256885410933,1.069533389604024,9.295723495806909,92,SIGNAL,0.05650096213871575,2023
2023-05-28 22:00:00,2023-05-31 04:00:00,27848.71,27677.94,0.012456252873989637,1.0,-2.1271543032912157,1.1066463898328267,-3.233800693124042,54,SIGNAL,-0.01864450022999273,2023
2023-06-20 01:00:00,2023-06-20 09:00:00,27006.469,26757.412,0.012589837334267929,1.0,-3.1355871169607763,1.0830056259983012,-4.2185927429590775,8,SIGNAL,-0.024814736765476502,2023
2023-06-20 17:00:00,2023-06-24 20:00:00,27392.049,30198.102,0.012102142921258578,1.0,33.959254450626396,1.11514278121418,32.844111669412214,99,SIGNAL,0.19815303034833212,2023
2023-07-03 16:00:00,2023-07-04 20:00:00,31077.773,30731.26,0.012752488070682069,1.0,-4.41890289883629,1.261150329588631,-5.680053228424921,28,SIGNAL,-0.02866405213784158,2023
2023-07-10 20:00:00,2023-07-12 20:00:00,30849.314,30306.4,0.012470985430812964,1.0,-6.770672584184353,1.2202752292879429,-7.990947813472295,48,SIGNAL,-0.0415414840278132,2023
2023-07-13 18:00:00,2023-07-14 18:00:00,31099.217,30726.875,0.01184217241845814,1.0,-4.4093381626335475,1.171448386277529,-5.580786548911076,24,SIGNAL,-0.030307113339863228,2023
2023-07-23 18:00:00,2023-07-24 03:00:00,30127.24,29810.064,0.011846407164054355,1.0,-3.757396038666141,1.1360667319995261,-4.893462770665667,9,SIGNAL,-0.02742207294129851,2023
2023-08-08 12:00:00,2023-08-08 14:00:00,29407.342,29359.19,0.011801192569571059,1.0,-0.5682510246100076,1.109624257244576,-1.6778752818545837,2,SIGNAL,-0.00966958871699468,2023
2023-08-08 15:00:00,2023-08-10 15:00:00,29431.96,29474.16,0.011677304377198317,1.0,0.4927822447177775,1.100583508671631,-0.6078012639538535,48,SIGNAL,-0.003536957239680896,2023
2023-08-14 16:00:00,2023-08-14 19:00:00,29581.465,29307.504,0.011563155176355531,1.0,-3.16785355526953,1.0895076587561447,-4.257361214025675,3,SIGNAL,-0.02489284086504839,2023
