open,entry_date,qty,direction,entry_px,tp_px,sl_px,duration,exit_date,exit_px,pnl_raw,tcost,pnl_tcost
0,2023-02-14 10:00:00,0.004501108397942994,1.0,22216.75,44433.5,18884.2375,123,2023-02-19 13:00:00,24366.164,9.674745406056244,0.3354795926496901,9.339265813406554
0,2023-03-12 21:00:00,0.004833531842791597,1.0,22620.988,45241.976,19227.8398,9,2023-03-13 06:00:00,22070.328,-2.66163264455162,0.3456270383716186,-3.0072596829232388
0,2023-03-13 11:00:00,0.004500254195466539,1.0,23628.0,47256.0,20083.8,185,2023-03-21 04:00:00,27608.293,17.912330272436105,0.36892214805344464,17.54340812438266
0,2023-04-09 18:00:00,0.004351727072354569,1.0,28465.805,56931.61,24195.93425,115,2023-04-14 13:00:00,30174.844,7.437271284009784,0.4083009596699871,7.028970324339797
0,2023-04-25 18:00:00,0.004624989496227116,1.0,28303.715,56607.43,24058.15775,92,2023-04-29 14:00:00,29195.307,4.12360363492013,0.425491796469331,3.698111838450799
0,2023-05-28 18:00:00,0.004833347627867021,1.0,27848.71,55697.42,23671.4035,54,2023-05-31 00:00:00,27677.94,-0.8253907744108534,0.4294073632974437,-1.254798137708297
0,2023-06-19 21:00:00,0.004937620622671857,1.0,27006.469,54012.938,22955.49865,8,2023-06-20 05:00:00,26757.412,-1.229748979420788,0.42474503612876097,-1.6544940155495491
0,2023-06-20 13:00:00,0.004807716438605913,1.0,27392.049,54784.098,23283.24165,99,2023-06-24 16:00:00,30198.102,13.490707135699438,0.4430033850631948,13.047703750636243
0,2023-07-03 12:00:00,0.004657377091178153,1.0,31077.773,62155.546,26416.10705,28,2023-07-04 16:00:00,30731.26,-1.6138417079954275,0.4605887589153191,-2.0744304669107465
0,2023-07-10 16:00:00,0.004624623988336475,1.0,30849.314,61698.628,26221.916899999997,48,2023-07-12 16:00:00,30306.4,-2.5107731080036952,0.45251549118119166,-2.963288599184887
0,2023-07-13 14:00:00,0.004492177052204862,1.0,31099.217,62198.434,26434.33445,24,2023-07-14 14:00:00,30726.875,-1.6726261879720652,0.44437400273585065,-2.1170001907079157
0,2023-07-23 14:00:00,0.004566836814730837,1.0,30127.24,60254.48,25608.154000000002,9,2023-07-23 23:00:00,29810.064,-1.4484910335490822,0.43795821837266224,-1.8864492519217444
0,2023-08-08 08:00:00,0.004614485032557847,1.0,29407.342,58814.684,24996.2407,2,2023-08-08 10:00:00,29359.19,-0.22219668328773404,0.4338836517269308,-0.6560803350146648
0,2023-08-08 11:00:00,0.004588333878249871,1.0,29431.96,58863.92,25017.165999999997,48,2023-08-10 11:00:00,29474.16,0.1936276896621479,0.4324495136516037,-0.2388218239894558
0,2023-08-14 12:00:00,0.004557071035775465,1.0,29581.465,59162.93,25144.24525,3,2023-08-14 15:00:00,29307.504,-1.2484597380320792,0.42937794393052686,-1.6778376819626062
0,2023-08-29 13:00:00,0.004752520972906952,1.0,28011.87,56023.74,23810.0895,3,2023-08-29 16:00:00,27863.031,-0.7073604690864975,0.42487462217855937,-1.132235091265057
0,2023-09-18 06:00:00,0.004907319716570151,1.0,26897.527,53795.054,22862.89795,8,2023-09-18 14:00:00,26792.225,-0.5167505807942684,0.42155644570777867,-0.938307026502047
0,2023-09-28 11:00:00,0.004889133770538609,1.0,26805.66,53611.32,22784.810999999998,118,2023-10-03 09:00:00,27475.879,3.276790346556621,0.42462352870673375,2.852166817849887
0,2023-10-15 17:00:00,0.00491925427752586,1.0,27221.326,54442.652,23138.1271,78,2023-10-18 23:00:00,28226.463,4.944524486749504,0.43641883714816215,4.508105649601342
0,2023-10-19 23:00:00,0.004771394740897948,1.0,29009.7,58019.4,24658.245,158,2023-10-26 13:00:00,33767.168,22.699757795190266,0.4792531485203916,22.220504646669873
0,2023-10-29 15:00:00,0.0046299937409182545,1.0,34694.914,69389.828,29490.676899999995,33,2023-10-31 00:00:00,34227.766,-2.162892316082452,0.5105785232116988,-2.6734708392941506
0,2023-11-01 17:00:00,0.00446175284360491,1.0,35403.97,70807.94,30093.3745,19,2023-11-02 12:00:00,34682.426,-3.219350993786069,0.5003330826416317,-3.7196840764277006
0,2023-11-07 16:00:00,0.004320117618868579,1.0,35703.676,71407.352,30348.1246,127,2023-11-12 23:00:00,36938.355,5.3339585015470545,0.502115388789596,4.831843112757459
0,2023-11-19 19:00:00,0.004254595179756372,1.0,37389.203,74778.406,31780.82255,39,2023-11-21 10:00:00,36655.145,-3.1231196284616223,0.5040459617424055,-3.6271655902040276
0,2023-12-01 12:00:00,0.004004327574608174,1.0,38820.19,77640.38,32997.1615,150,2023-12-07 18:00:00,43173.53,17.432199403644734,0.5253275423051228,16.90687186133961
