number,value,params_bb_dev,params_bb_window,params_ema_period,user_attrs_cagr,user_attrs_final_nav,user_attrs_max_dd,user_attrs_n_trades,user_attrs_sharpe,user_attrs_total_ret,user_attrs_vol,user_attrs_win_rate
0,0.055415926712900444,3.5,195,850,-0.004355044264114372,98.75130825104722,-0.2282856190408246,30.0,0.055415926712900444,-0.012486917489527793,0.16388885933336012,36.666666666666664
1,-0.23600641557930285,1.75,45,1300,-0.08153351715792445,78.28155521014543,-0.30848704573513536,233.0,-0.23600641557930285,-0.21718444789854574,0.23919612442701807,26.609442060085836
2,1.0548932063307297,3.0,180,300,0.24509545734713134,187.96976163201248,-0.19276047670103627,44.0,1.0548932063307297,0.8796976163201249,0.23368867503106755,43.18181818181818
3,-1000000000.0,4.0,20,1500,,,,,,,,
4,-0.05040039538954813,2.0,55,1700,-0.03869254956478296,89.26077714544407,-0.3289342429261617,185.0,-0.05040039538954813,-0.1073922285455593,0.23503319158091557,26.486486486486488
5,0.972934761462389,2.75,75,500,0.20614615825851845,171.53393460950454,-0.19970013458559777,94.0,0.972934761462389,0.7153393460950455,0.2167993521460886,38.297872340425535
6,1.6157858513884293,3.0,70,950,0.35790587649745365,241.28546831989192,-0.16724999928165005,71.0,1.6157858513884293,1.412854683198919,0.20196363259522634,43.66197183098591
7,0.6744634903924858,2.5,70,450,0.13673495988099704,144.6247532314438,-0.26770328070746935,127.0,0.6744634903924858,0.44624753231443814,0.22884921243663817,31.496062992125985
8,1.0253634562352905,2.0,165,1000,0.2533513666834972,191.58047929956226,-0.2319891291747827,74.0,1.0253634562352905,0.9158047929956226,0.2509857081842597,36.486486486486484
9,0.8094191473085862,1.5,125,1150,0.19186404971261006,165.75108490762838,-0.24091912437479399,120.0,0.8094191473085862,0.6575108490762838,0.2579696110243317,28.333333333333332
10,1.050508212780532,3.25,120,1900,0.1872058339967828,163.8928763653855,-0.2144098841256823,36.0,1.050508212780532,0.638928763653855,0.17853867536510779,38.88888888888889
11,0.8038780274917688,3.25,155,200,0.1579339463163174,152.52650858864723,-0.2754871944348526,43.0,0.8038780274917688,0.5252650858864722,0.20979792806380498,41.86046511627907
12,0.853202955999621,2.5,95,650,0.1855834582435032,163.24890172406657,-0.23772061569207886,94.0,0.853202955999621,0.6324890172406656,0.2307459984125935,27.659574468085108
13,0.7703008062810298,3.0,195,200,0.15692414183686743,152.14387425669415,-0.21277057743318817,43.0,0.7703008062810298,0.5214387425669416,0.2209041055011602,37.2093023255814
14,0.5595957964090512,3.75,155,800,0.07505577717612621,123.16567686300817,-0.22106980820772673,22.0,0.5595957964090512,0.23165676863008167,0.14928022306709965,40.909090909090914
15,1.4428126713161316,2.75,95,1350,0.3361060747762614,230.3008217188671,-0.23356621994514548,69.0,1.4428126713161316,1.3030082171886708,0.2171802927458097,34.78260869565217
16,1.1485937682481118,2.5,90,1350,0.2648945883456899,196.7043494950915,-0.23650613243552876,87.0,1.1485937682481118,0.967043494950915,0.22703105599642884,34.48275862068966
17,1.121296272284329,2.25,105,1650,0.2661006698441264,197.2448128361692,-0.2460648532171212,87.0,1.121296272284329,0.9724481283616919,0.23507283788719574,31.03448275862069
18,1.2076323820736323,3.0,130,1100,0.2642302749831109,196.4070738812013,-0.16973216794477058,47.0,1.2076323820736323,0.9640707388120131,0.21294014073775044,40.42553191489361
19,0.8853917629759502,3.5,30,2000,0.12419063298807287,140.0773829921384,-0.18654473068362026,64.0,0.8853917629759502,0.4007738299213841,0.14392016916604258,39.0625
20,1.3373409603841941,2.75,75,1300,0.29607852826676817,210.99154099368587,-0.1741096423525913,80.0,1.3373409603841941,1.1099154099368587,0.21048046364175577,41.25
21,1.3373409603841941,2.75,75,1300,0.29607852826676817,210.99154099368587,-0.1741096423525913,80.0,1.3373409603841941,1.1099154099368587,0.21048046364175577,41.25
22,0.3212878732644327,2.75,55,950,0.04690981153027263,114.10868416886778,-0.2578510093197769,120.0,0.3212878732644327,0.1410868416886779,0.2138824733902876,29.166666666666668
23,1.2638957057038918,3.25,90,1500,0.25534337827707176,192.45840862469962,-0.1729207336007406,51.0,1.2638957057038918,0.9245840862469961,0.1949564026633405,31.372549019607842
24,0.9564911794103984,2.25,105,1150,0.2169545597970408,175.99668984405167,-0.26530291391243954,88.0,0.9564911794103984,0.7599668984405168,0.2339124457766944,30.681818181818183
25,1.0661175991458391,2.75,70,1450,0.22252154850925554,178.32454758790254,-0.2187544199412146,92.0,1.0661175991458391,0.7832454758790255,0.20891767257821986,35.869565217391305
26,-0.02697503153751374,2.25,45,750,-0.03186765605836284,91.09743535535574,-0.27667685522109736,193.0,-0.02697503153751374,-0.08902564644644262,0.22896510324700334,26.42487046632124
27,0.9757947581286849,3.0,140,1700,0.1948217122206597,166.938031898285,-0.18505957074028978,44.0,0.9757947581286849,0.66938031898285,0.20369061021648585,38.63636363636363
28,1.4911954743307712,3.5,85,1250,0.2862404028505723,206.41343587779085,-0.1736389493681869,39.0,1.4911954743307712,1.0641343587779084,0.17961066493283528,33.33333333333333
29,1.3753197015227463,3.5,90,950,0.25493559070697724,192.27847316191753,-0.15899774091788782,38.0,1.3753197015227463,0.9227847316191753,0.1764292955483916,36.84210526315789
30,0.9483873505338065,3.75,55,650,0.14613527323227515,148.09480482387042,-0.1733687015977757,48.0,0.9483873505338065,0.4809480482387043,0.15675054551498577,39.58333333333333
31,1.3753197015227463,3.5,90,950,0.25493559070697724,192.27847316191753,-0.15899774091788782,38.0,1.3753197015227463,0.9227847316191753,0.1764292955483916,36.84210526315789
32,1.4600965325204451,4.0,110,1050,0.2506185072892235,190.38029849462046,-0.13967027506861324,22.0,1.4600965325204451,0.9038029849462046,0.16218687627782225,45.45454545454545
33,-1000000000.0,4.0,115,1200,,,,,,,,
34,1.179898004883679,3.75,105,1400,0.19629065014438218,167.52959097141763,-0.15089087152456798,24.0,1.179898004883679,0.6752959097141764,0.16320206505833076,37.5
35,1.1624583026653406,4.0,135,1050,0.1886718760536894,164.47622098908275,-0.16158126001636477,21.0,1.1624583026653406,0.6447622098908274,0.15966727615171716,42.857142857142854
36,1.4385654896006408,3.25,65,1600,0.2906132520194884,208.44022051015858,-0.18138093919071677,64.0,1.4385654896006408,1.0844022051015858,0.18985851994861958,39.0625
37,1.0586345803878532,3.75,40,1200,0.1565757483765251,152.012006784406,-0.1792473340024566,51.0,1.0586345803878532,0.5201200678440601,0.1477152887753804,37.254901960784316
38,1.045173131197277,3.5,100,1250,0.19044222395835853,165.18245438680646,-0.16683440530897106,38.0,1.045173131197277,0.6518245438680645,0.1827861915674408,31.57894736842105
39,1.3405155002642204,4.0,80,850,0.21150214981296211,173.73605668245725,-0.1416317177715754,26.0,1.3405155002642204,0.7373605668245724,0.151713096064759,42.30769230769231
40,1.1403737773792164,3.0,115,1550,0.23371687316459422,183.06656004645794,-0.2059432787700377,46.0,1.1403737773792164,0.8306656004645794,0.2020983198719876,36.95652173913043
41,1.4325331051923769,3.25,65,1650,0.2891601287176826,207.7652739934656,-0.18225235190460964,64.0,1.4325331051923769,1.0776527399346558,0.18987354872287865,39.0625
42,1.2228243657312894,3.25,60,1800,0.22418133011053065,179.02245908417146,-0.14851659483338775,63.0,1.2228243657312894,0.7902245908417145,0.1784383372054294,36.507936507936506
43,1.669331334357908,3.0,85,1050,0.37153121480227136,248.3216428790975,-0.15649073591762394,61.0,1.669331334357908,1.4832164287909753,0.20139047718751854,40.98360655737705
44,1.6293114078943753,3.0,85,1100,0.35942256473497225,242.0621703366874,-0.15649073591762327,58.0,1.6293114078943753,1.4206217033668738,0.2008244700740162,43.103448275862064
45,1.668670764546993,3.0,80,1050,0.3707446614364214,247.91186922735776,-0.14470051035518577,65.0,1.668670764546993,1.4791186922735777,0.20109070452277078,41.53846153846154
46,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
47,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
